addressee,count,percent
ADDR-DEPT-NAMED,976,36.12
ADDR-DEPT-GENERIC,118,4.37
ADDR-HEALTH,344,12.73
ADDR-REG,64,2.37
ADDR-PROF,147,5.44
ADDR-POLICE,278,10.29
ADDR-COURT,8,0.3
ADDR-PRIVATE,230,8.51
ADDR-UNSPEC,537,19.87
