theme,count,percent
THEME-MH,370,13.69
THEME-CUST,270,9.99
THEME-MED,613,22.69
THEME-RTA,274,10.14
THEME-DV,81,3.0
THEME-DRUG,172,6.37
THEME-CHILD,118,4.37
THEME-WORK,147,5.44
THEME-REC,157,5.81
THEME-FIRE,29,1.07
THEME-PROD,60,2.22
THEME-OTHER,411,15.21
