theme,MECH-LEG,MECH-INFRA,MECH-FUND,MECH-INV,MECH-PROC,MECH-OTHER
THEME-MH,9,31,29,28,258,15
THEME-CUST,11,18,13,17,167,44
THEME-MED,12,10,15,43,481,52
THEME-RTA,30,68,5,54,94,23
THEME-DV,5,3,10,9,52,2
THEME-DRUG,20,4,12,16,107,13
THEME-CHILD,21,1,4,7,74,11
THEME-WORK,31,4,2,10,83,17
THEME-REC,36,10,0,19,79,13
THEME-FIRE,6,0,0,7,12,4
THEME-PROD,17,0,0,1,34,8
THEME-OTHER,11,6,8,20,93,273
