axis,n,chi2,dof,p,cramers_v,note
mechanism,420,35.485932995985934,20,0.017663784283278784,0.1453360903708275,shape 5x6 after dropping all-zero rows/cols
addressee,403,48.27682184031596,35,0.06693035874425098,0.154786047550436,shape 8x6 after dropping all-zero rows/cols
specificity,424,8.663326362748677,5,0.12327024431158122,0.14294185355258537,shape 2x6 after dropping all-zero rows/cols
scope,424,4.850441108468957,5,0.4344040665165153,0.10695662483196473,shape 2x6 after dropping all-zero rows/cols
