specificity,ADDR-DEPT-NAMED,ADDR-DEPT-GENERIC,ADDR-HEALTH,ADDR-REG,ADDR-PROF,ADDR-POLICE,ADDR-COURT,ADDR-PRIVATE,ADDR-UNSPEC
SPEC-1,447,116,140,35,84,120,5,96,537
SPEC-2,529,2,204,29,63,158,3,134,0
