jurisdiction,THEME-MH,THEME-CUST,THEME-MED,THEME-RTA,THEME-DV,THEME-DRUG,THEME-CHILD,THEME-WORK,THEME-REC,THEME-FIRE,THEME-PROD,THEME-OTHER
NSW,22,25,40,7,4,5,11,5,10,3,0,70
VIC,215,52,278,177,60,121,52,63,90,19,41,64
QLD,16,72,42,30,2,3,9,28,13,5,2,111
WA,32,37,19,4,2,6,12,2,7,0,1,5
SA,40,59,119,14,5,15,7,7,14,0,11,65
TAS,31,3,72,24,2,12,13,35,15,1,5,61
NT,12,22,35,15,6,10,13,6,7,0,0,34
ACT,2,0,8,3,0,0,1,1,1,1,0,1
