axis,chi2,dof,p_raw,cramers_v,n,p_bh_adj,reject_bh_0.05
theme,747.632754486108,77,1.7654867192220336e-110,0.1988165199141787,2702,2.942477865370056e-110,True
mechanism,756.0819386701767,35,2.7224510565862867e-136,0.23656841349026503,2702,6.806127641465716e-136,True
addressee,929.6807081807711,56,1.3444568260422686e-158,0.22170486191274122,2702,6.722284130211342e-158,True
specificity,371.59606298374985,7,2.922927760397436e-76,0.3708453857634262,2702,3.6536597004967945e-76,True
scope,308.23352056564477,14,2.263792990971165e-57,0.2388263620138162,2702,2.263792990971165e-57,True
